location,area,new/resale,furnished,price
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1,0,2750000
Zirakpur GAzipur Road,1000,1,0,2790000
Dera Bassi,600,1,0,1590000
Dera Bassi,600,1,0,1690000
Airport Road,1418,1,0,5290000
Airport Road,1410,1,0,5590000
Aerocity Road,1410,1,0,5590000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1530,1,0,3790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1230,1,0,3240000
Aerocity Road,4150,1,0,5290000
Zirakpur GAzipur Road,1050,1,0,2750000
Zirakpur punjab,1100,1,0,3700000
Aerocity Road,1410,1,0,5290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1000,1,0,2690000
Ambala Highway,1800,1,0,6690000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1320,1,0,4000000
Ambala Highway,1800,1,0,6690000
Mohali Sector 127,900,1,0,2690000
Dera Bassi,600,1,0,1690000
Dera Bassi,600,1,0,1690000
Dera Bassi,600,1,0,1669000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1110,1,0,3450000
Zirakpur GAzipur Road,1100,1,0,2790000
Dera Bassi,1100,1,0,2590000
Airport Road,1500,1,0,5290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1600,1,0,3240000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1500,1,0,2990000
Dera Bassi,1300,1,0,2200000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1600,1,0,3240000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1500,1,0,2990000
Dera Bassi,1300,1,0,2200000
Panchkula Road,780,1,0,1962000
Vip Road Zirakpur,1900,1,0,4990000
Ambala Highway,1800,1,0,6890000
SEC 115 MOHALI KHARAR LANDRAN ROAD,700,1,0,1690000
Ambala Highway,1800,1,0,6990000
Zirakpur GAzipur Road,1000,1,0,2790000
sector 5 Mubarikpur road derabassi,1100,1,0,2550000
